"","X","code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths","state_name","pop_density","pop_count","region_census_sub_revised","region_code"
"268",268,"AL","2020-05-27",NA,NA,381,3,"Alabama",95,4858979,"Southern Appalachia",1
"269",269,"AL","2020-05-28",NA,NA,524,22,"Alabama",95,4858979,"Southern Appalachia",1
"270",270,"AL","2020-05-29",NA,NA,478,5,"Alabama",95,4858979,"Southern Appalachia",1
"271",271,"AL","2020-05-30",NA,NA,327,8,"Alabama",95,4858979,"Southern Appalachia",1
"272",272,"AL","2020-05-31",NA,NA,491,11,"Alabama",95,4858979,"Southern Appalachia",1
"273",273,"AL","2020-06-01",NA,NA,397,14,"Alabama",95,4858979,"Southern Appalachia",1
"274",274,"AL","2020-06-02",NA,NA,181,7,"Alabama",95,4858979,"Southern Appalachia",1
"275",275,"AL","2020-06-03",NA,NA,126,0,"Alabama",95,4858979,"Southern Appalachia",1
"276",276,"AL","2020-06-04",NA,NA,213,1,"Alabama",95,4858979,"Southern Appalachia",1
"277",277,"AL","2020-06-05",NA,NA,307,19,"Alabama",95,4858979,"Southern Appalachia",1
"278",278,"AL","2020-06-06",NA,NA,636,14,"Alabama",95,4858979,"Southern Appalachia",1
"279",279,"AL","2020-06-07",NA,NA,457,3,"Alabama",95,4858979,"Southern Appalachia",1
"280",280,"AL","2020-06-08",NA,NA,424,25,"Alabama",95,4858979,"Southern Appalachia",1
"281",281,"AL","2020-06-09",NA,NA,481,11,"Alabama",95,4858979,"Southern Appalachia",1
"282",282,"AL","2020-06-10",NA,NA,555,16,"Alabama",95,4858979,"Southern Appalachia",1
"283",283,"AL","2020-06-11",NA,NA,848,11,"Alabama",95,4858979,"Southern Appalachia",1
"284",284,"AL","2020-06-12",NA,NA,859,14,"Alabama",95,4858979,"Southern Appalachia",1
"285",285,"AL","2020-06-13",NA,NA,887,4,"Alabama",95,4858979,"Southern Appalachia",1
"286",286,"AL","2020-06-14",NA,NA,1015,0,"Alabama",95,4858979,"Southern Appalachia",1
